age_band,age_band_min,age_band_max,band_midpoint,percentile,value_nominal,data_year,source,with_pension
75+,75,89,80,p75,737246,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
16-24,16,24,20,p25,2938,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
16-24,16,24,20,p50,10883,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
16-24,16,24,20,p75,32203,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
25-34,25,34,30,p25,22343,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
25-34,25,34,30,p50,70931,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
25-34,25,34,30,p75,172220,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
35-44,35,44,40,p25,42792,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
35-44,35,44,40,p50,134144,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
35-44,35,44,40,p75,290288,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
45-54,45,54,50,p25,65056,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
45-54,45,54,50,p50,178725,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
45-54,45,54,50,p75,370497,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
55-64,55,64,60,p25,104785,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
55-64,55,64,60,p50,289460,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
55-64,55,64,60,p75,570236,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
65-74,65,74,70,p25,145462,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
65-74,65,74,70,p50,375870,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
65-74,65,74,70,p75,732195,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
75+,75,89,80,p25,134735,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
75+,75,89,80,p50,323105,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
75+,75,89,80,p75,638455,2021,ONS Wealth in Great Britain Wave 8 (April 2020-March 2022); excluding-pension series derived using age-specific component shares,False
